region,soc_code,occupation_title,median_wage_2022,employment_2023,employment_2030,employment_change,annual_job_openings,source
Michigan,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",136685,75,318,243,28,upjohn_naatbatt_2023
Michigan,41-2000,Retail Sales Workers,39024,46,195,149,26,upjohn_naatbatt_2023
Michigan,49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",56272,53,228,175,23,upjohn_naatbatt_2023
Michigan,43-6000,Secretaries and Administrative Assistants,45809,52,188,136,19,upjohn_naatbatt_2023
Michigan,53-3000,Motor Vehicle Operators,43381,35,148,113,18,upjohn_naatbatt_2023
Michigan,43-1000,Supervisors of Office and Administrative Support Workers,65384,41,161,121,16,upjohn_naatbatt_2023
Michigan,41-3000,"Sales Representatives, Services",69641,31,131,100,15,upjohn_naatbatt_2023
Michigan,19-2000,Physical Scientists,86147,33,133,100,13,upjohn_naatbatt_2023
Michigan,23-1000,"Lawyers, Judges, and Related Workers",176904,44,188,144,10,upjohn_naatbatt_2023
Michigan,37-2000,Building Cleaning and Pest Control Workers,34378,26,111,85,15,upjohn_naatbatt_2023
Michigan,27-1000,Art and Design Workers,58828,28,118,90,11,upjohn_naatbatt_2023
Michigan,23-2000,Legal Support Workers,,26,107,80,12,upjohn_naatbatt_2023
Michigan,49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",78907,23,99,75,9,upjohn_naatbatt_2023
